epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.39779,2.7605,4.71715,1.49856,0,0,0,0,2.64356,4.75637,1.3764,0,0,0
2,0.998878,2.93983,4.73172,1.54756,0,0,0,0,2.62744,4.75698,1.36838,6.99863e-06,6.99863e-06,6.99863e-06
3,1.59058,2.6122,4.72024,1.50393,0,0,0,0,2.5935,4.75732,1.35474,1.37145e-05,1.37145e-05,1.37145e-05
4,2.11199,2.68189,4.69958,1.50804,0,0,0,0,2.54439,4.75636,1.33729,2.01477e-05,2.01477e-05,2.01477e-05
5,2.65287,2.86776,4.76382,1.45598,0,0,0,0,2.48822,4.75669,1.31776,2.6298e-05,2.6298e-05,2.6298e-05
6,3.23744,2.63847,4.70412,1.55536,0,0,0,0,2.43016,4.75592,1.2991,3.21657e-05,3.21657e-05,3.21657e-05
7,3.76659,2.69592,4.70868,1.40857,0,0,0,0,2.39213,4.75558,1.28873,3.77506e-05,3.77506e-05,3.77506e-05
8,4.36474,2.641,4.69499,1.43902,0,0,0,0,2.35341,4.75509,1.2802,4.30528e-05,4.30528e-05,4.30528e-05
9,4.93357,2.58803,4.69065,1.45928,0,0,0,0,2.3024,4.75506,1.26841,4.80722e-05,4.80722e-05,4.80722e-05
10,5.48428,2.39747,4.68726,1.34231,0,0,0,0,2.24983,4.75419,1.25881,5.28089e-05,5.28089e-05,5.28089e-05
11,6.10887,2.39975,4.67947,1.35127,0,0,0,0,2.20114,4.75225,1.25302,5.72628e-05,5.72628e-05,5.72628e-05
12,6.63247,2.60361,4.65699,1.42626,0,0,0,0,2.17447,4.75026,1.24633,6.1434e-05,6.1434e-05,6.1434e-05
13,7.18405,2.73466,4.68524,1.33839,0,0,0,0,2.16388,4.74829,1.24602,6.53224e-05,6.53224e-05,6.53224e-05
14,7.72404,2.49761,4.67989,1.30828,0,0,0,0,2.16429,4.74717,1.24993,6.89281e-05,6.89281e-05,6.89281e-05
15,8.32228,2.38471,4.59835,1.3512,0,0,0,0,2.20164,4.74618,1.25812,7.22511e-05,7.22511e-05,7.22511e-05
16,8.88396,2.44335,4.60178,1.28405,0,0,0,0,2.25987,4.74422,1.26946,7.52913e-05,7.52913e-05,7.52913e-05
17,9.42052,2.33663,4.58956,1.2987,0,0,0,0,2.32076,4.74187,1.28511,7.80488e-05,7.80488e-05,7.80488e-05
18,9.97074,2.11342,4.5061,1.26441,0,0,0,0,2.32076,4.74187,1.28511,8.05235e-05,8.05235e-05,8.05235e-05
19,10.5142,2.29218,4.60374,1.2744,0,0,0,0,2.356,4.73905,1.29342,8.27155e-05,8.27155e-05,8.27155e-05
20,11.0293,2.27243,4.55875,1.24869,0,0,0,0,2.356,4.73905,1.29342,8.46247e-05,8.46247e-05,8.46247e-05
21,11.5787,2.31948,4.53934,1.27592,0,0,0,0,2.38686,4.73669,1.29739,8.62512e-05,8.62512e-05,8.62512e-05
